method,pair_id,runtime_sec_pair,runtime_note
MetaSpace,ChEMBL__Semantically-Joinable__assays_vertical_30_ac5_av,50.12081979264456,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_vertical_30_ac1_ev,50.52955317603012,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_vertical_30_ac2_ev,50.52955317603012,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_vertical_30_ec_ev,50.142775803401584,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ac5_ev,57.465898993442295,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ec_ev,50.12081979264456,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ac2_ev,50.18668782491565,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ac4_ev,57.465898993442295,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_30_ac2_av,50.26949790789959,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_30_ac1_ev,50.77686509117167,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_30_ac1_av,50.0797559895522,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__View-Unionable__assays_both_0_30_ac2_ev,50.77686509117167,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
